Location,Name,Smiles,IUPAC name,MW,Reaction Scale (mmol),Eq,amount per reaction (mg),Volume to dispense (theory) at 0.8M,Min weight,Exp weight,Volume to dispense (exp) at 0.8M,AC volume per reaction at 0.8M,Barcode rack,Barcode vial
A1,AC1,O=C(Cl)CC1=CC(OC)=CC=C1,2-(3-methoxyphenyl)acetyl chloride,184.619,0.07,1.05,13.5694965,735,108.555972,158.2,1071.124857,91.875,SA00544827,FB00283367
A2,AC2,O=C(Cl)CC1=CC=C(OC)C=C1,2-(4-methoxyphenyl)acetyl chloride,184.619,0.07,1.05,13.5694965,735,108.555972,172,1164.560527,91.875,SA00544827,FB00282685
A3,AC3,O=C(Cl)CC1=CC=CC=C1,2-phenylacetyl chloride,154.593,0.07,1.05,11.3625855,735,90.900684,194.8,1575.103659,91.875,SA00544827,FB00282397
A4,AC4,O=C(Cl)CC1=CC=C(F)C=C1,2-(4-fluorophenyl)acetyl chloride,172.5834032,0.07,1.05,12.68488014,735,101.4790411,157.4,1140.02851,91.875,SA00544827,FB00283282
A5,AC5,CC1=CC=C(C)C(CC(Cl)=O)=C1,2-(2-5-dimethylphenyl)acetyl chloride,182.647,0.07,1.05,13.4245545,735,107.396436,171.3,1172.343373,91.875,SA00544827,FB00282366
A6,AC6,O=C(Cl)CC1=CC=C(Cl)C=C1,2-(4-chlorophenyl)acetyl chloride,189.035,0.07,1.05,13.8940725,735,111.15258,163,1077.842728,91.875,SA00544827,FB00283081
B1,AC7,O=C(Cl)C1=CC(OC)=CC=C1,3-methoxybenzoyl chloride,170.592,0.07,1.05,12.538512,735,100.308096,176,1289.626712,91.875,SA00544827,FB00282371
B2,AC8,O=C(Cl)C1=CC(C(F)(F)F)=CC=C1,3-(trifluoromethyl)phenylacetyl chloride,222.59,0.07,1.05,15.32946941,735,122.6357552,150.8,903.7984051,91.875,SA00544827,FB00282749
B3,AC9,O=C(Cl)C1=CC=CC=C1F,2-fluorobenzoyl chloride,158.5564032,0.07,1.05,11.65389564,735,93.23116508,161.9,1276.35968,91.875,SA00544827,FB00282664
B4,AC10,O=C(Cl)C1=CC=CC=C1,benzoyl chloride,140.566,0.07,1.05,10.331601,735,82.652808,134.9,1199.614416,91.875,SA00544827,FB00282702
B5,AC11,O=C(Cl)C1=CC=C(N(C)C)C=C1,4-(dimethylamino)benzoyl chloride,183.635,0.07,1.05,13.4971725,735,107.97738,150.8,1026.492771,91.875,SA00544827,FB00282695
B6,AC12,ClC1=C(Cl)C=CC(C(Cl)=O)=C1,3-4-dichlorobenzoyl chloride,209.45,0.07,1.05,15.394575,735,123.1566,178.7,1066.483648,91.875,SA00544827,FB00282880
