ReactantOne,ReactantTwo,Product,Row,Column,Well
O=C(O)CC1=CC(O)=CC=C1,NC1=NOC=C1,O=C(Cc1cccc(O)c1)Nc1ccon1,0,0,A1
O=C(O)CC1=CC(O)=CC=C1,FC1=CC=CC=C1N,O=C(Cc1cccc(O)c1)Nc1ccccc1F,1,0,B1
O=C(O)CC1=CC(O)=CC=C1,NC1=CN=CC=C1,O=C(Cc1cccc(O)c1)Nc1cccnc1,2,0,C1
O=C(O)CC1=CC(O)=CC=C1,NC1=NN=CC=C1,O=C(Cc1cccc(O)c1)Nc1cccnn1,3,0,D1
O=C(O)CC1=CC(O)=CC=C1,NC1=NC=CC=C1,O=C(Cc1cccc(O)c1)Nc1ccccn1,4,0,E1
O=C(O)CC1=CC(O)=CC=C1,NC1=NC=CC=N1,O=C(Cc1cccc(O)c1)Nc1ncccn1,5,0,F1
O=C(O)CC1=CC(O)=CC=C1,ClC1=CC=CC(N)=C1,O=C(Cc1cccc(O)c1)Nc1cccc(Cl)c1,6,0,G1
O=C(O)CC1=CC(O)=CC=C1,CC1=CC(N)=NO1,Cc1cc(NC(=O)Cc2cccc(O)c2)no1,7,0,H1
CC1=CC=CC=C1CC(O)=O,NC1=NOC=C1,Cc1ccccc1CC(=O)Nc1ccon1,0,1,A2
CC1=CC=CC=C1CC(O)=O,FC1=CC=CC=C1N,Cc1ccccc1CC(=O)Nc1ccccc1F,1,1,B2
CC1=CC=CC=C1CC(O)=O,NC1=CN=CC=C1,Cc1ccccc1CC(=O)Nc1cccnc1,2,1,C2
CC1=CC=CC=C1CC(O)=O,NC1=NN=CC=C1,Cc1ccccc1CC(=O)Nc1cccnn1,3,1,D2
CC1=CC=CC=C1CC(O)=O,NC1=NC=CC=C1,Cc1ccccc1CC(=O)Nc1ccccn1,4,1,E2
CC1=CC=CC=C1CC(O)=O,NC1=NC=CC=N1,Cc1ccccc1CC(=O)Nc1ncccn1,5,1,F2
CC1=CC=CC=C1CC(O)=O,ClC1=CC=CC(N)=C1,Cc1ccccc1CC(=O)Nc1cccc(Cl)c1,6,1,G2
